link_key,speed_ref_sd,tt_cv,tt_avg,road_closures,tt_sd,median_age,speed_avg,speed_hist_sd,median_inc,bus_stops,inrix_id,intersections,speed_cv,speed_hist_avg,speed_max,speed_ref_avg,tt_var,speed_sd,incidents,date,hour
"(111, 895, '0')",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
"(17, 1250, '0')",0.000,0.087,0.213,0.000,0.015,34.200,25.632,0.621,67.240,1,441679107.000,0,0.087,22.059,27.340,26.719,0.000,1.924,0,2020-10-06,16
"(1252, 1250, '0')",0.000,0.027,0.255,0.000,0.010,34.200,27.030,0.000,67.240,0,441679109.000,0,0.027,22.991,27.340,28.583,0.000,0.621,0,2020-10-06,16
"(570, 1250, '0')",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
"(17, 6, '0')",0.000,0.139,0.443,0.000,0.056,29.000,22.369,0.879,36.974,0,1626728177.000,1,0.139,19.263,26.098,24.855,0.003,2.685,1,2020-10-06,16
"(539, 6, '0')",0.000,0.078,0.672,0.000,0.046,29.000,15.534,1.293,36.974,0,1626698650.000,2,0.078,14.602,16.777,19.884,0.002,1.134,0,2020-10-06,16
"(17, 1275, '0')",0.000,0.148,0.555,0.000,0.065,34.200,26.719,0.000,67.240,0,441679103.000,0,0.148,21.748,30.447,26.719,0.004,3.209,0,2020-10-06,16
"(17, 213, '0')",0.000,0.078,0.395,0.000,0.026,34.200,15.534,1.293,67.240,0,441679106.000,0,0.078,14.602,16.777,19.884,0.001,1.134,0,2020-10-06,16
"(847, 213, '0')",0.000,0.045,0.788,0.000,0.022,34.200,27.962,0.717,67.240,0,1626687882.000,5,0.045,22.369,29.204,29.826,0.000,1.015,0,2020-10-06,16
"(712, 728, '0')",0.000,0.030,0.328,0.000,0.005,34.400,39.923,0.359,66.653,0,1626631223.000,0,0.030,39.457,41.632,39.768,0.000,1.176,0,2020-10-06,16
